word,part_of_speech,definition,source_image,confidence
succinct,adj.,"to the point, brief",IMG_2038.JPG,1.0
suitable,adj.,"appropriate, adequate",IMG_2038.JPG,1.0
sullen,adj.,gloomy,IMG_2038.JPG,1.0
superficial,adj.,near the surface,IMG_2038.JPG,1.0
superfluous,adj.,"excessive, unnecessary",IMG_2038.JPG,1.0
suppress,v.,"to prevent, to constrain",IMG_2038.JPG,1.0
surge,n.,a rush,IMG_2038.JPG,1.0
surplus,n.,an excess,IMG_2038.JPG,1.0
sustain,v.,to keep going,IMG_2038.JPG,1.0
swelter,v.,to be very warm,IMG_2038.JPG,1.0
sympathy,n.,"sorrow, compassion",IMG_2038.JPG,1.0
taciturn,adj.,quiet,IMG_2038.JPG,1.0
tactile,adj.,relative to touch,IMG_2038.JPG,1.0
taint,v.,to pollute,IMG_2038.JPG,1.0
tangible,adj.,able to be touched,IMG_2038.JPG,1.0
tarnish,v.,"to damage, blemish",IMG_2038.JPG,1.0
taunt,v.,to tease,IMG_2038.JPG,1.0
tedious,adj.,"dull, time-consuming",IMG_2038.JPG,1.0
temperate,adj.,"mild, moderate",IMG_2038.JPG,1.0
tempest,n.,a violent windstorm,IMG_2038.JPG,1.0
tenacious,adj.,persistent,IMG_2038.JPG,1.0
tense,adj.,"nervous, anxious, rigid",IMG_2038.JPG,1.0
tenuous,adj.,"weak, fragile",IMG_2038.JPG,1.0
terse,adj.,to the point,IMG_2038.JPG,1.0
thrive,v.,to do well,IMG_2038.JPG,1.0
throb,v.,pulse,IMG_2038.JPG,1.0
timid,adj.,shy,IMG_2038.JPG,1.0
tirade,n.,"a long outburst",IMG_2038.JPG,1.0
tolerant,adj.,accepting,IMG_2038.JPG,1.0
toxic,adj.,poisonous,IMG_2038.JPG,1.0
trance,n.,stupor,IMG_2038.JPG,1.0
transform,v.,"to change completely",IMG_2038.JPG,1.0
transgression,n.,"a violation of a law, a misdoing",IMG_2038.JPG,1.0
transient,adj.,passing quickly,IMG_2038.JPG,1.0
transitory,adj.,"brief, fleeting",IMG_2038.JPG,1.0
translucent,adj.,clear,IMG_2038.JPG,1.0
traverse,v.,to cross,IMG_2038.JPG,1.0
tremble,v.,to shake,IMG_2038.JPG,1.0
trivial,adj.,unimportant,IMG_2038.JPG,1.0
truant,n.,one who is absent,IMG_2038.JPG,1.0
turmoil,n.,"an uneasy state",IMG_2038.JPG,1.0
tycoon,n.,one with money,IMG_2038.JPG,1.0
tyrant,n.,"an unjust ruler",IMG_2038.JPG,1.0
ultimate,adj.,"last, highest",IMG_2038.JPG,1.0
undaunted,adj.,not discouraged,IMG_2038.JPG,1.0
undermine,v.,weaken,IMG_2038.JPG,1.0
uniform,adj.,the same,IMG_2038.JPG,1.0
unique,adj.,the only one,IMG_2038.JPG,1.0
unkempt,adj.,messy,IMG_2038.JPG,1.0
unorthodox,adj.,not traditional,IMG_2038.JPG,1.0
unqualified,adj.,"not fit, inexperienced",IMG_2038.JPG,1.0
unsung,adj.,overlooked,IMG_2038.JPG,1.0
usurp,v.,to take over,IMG_2038.JPG,1.0
utilize,v.,to use,IMG_2038.JPG,1.0
utmost,adj.,"highest, best",IMG_2038.JPG,1.0
vacant,adj.,empty,IMG_2038.JPG,1.0
vague,adj.,unclear,IMG_2038.JPG,1.0
vain,adj.,egotistical,IMG_2038.JPG,1.0
valid,adj.,"right, genuine",IMG_2038.JPG,1.0
validate,v.,to approve,IMG_2038.JPG,1.0
vanquish,v.,to conquer,IMG_2038.JPG,1.0
variegated,adj.,mixed in color,IMG_2038.JPG,1.0
verbose,adj.,wordy,IMG_2038.JPG,1.0
verge,n.,brink,IMG_2038.JPG,1.0
viable,adj.,reasonable,IMG_2038.JPG,1.0
vicious,adj.,"cruel, violent",IMG_2038.JPG,1.0
vigilant,adj.,watchful,IMG_2038.JPG,1.0
vigorous,adj.,energetic,IMG_2038.JPG,1.0
vindicate,v.,to confirm,IMG_2038.JPG,1.0
virtually,adv.,essentially,IMG_2038.JPG,1.0
principal,adj.,main,IMG_2037.JPG,1.0
prior,adj.,before,IMG_2037.JPG,1.0
proclaim,v.,to announce,IMG_2037.JPG,1.0
procrastinate,v.,to put off,IMG_2037.JPG,1.0
proficient,adj.,skillful,IMG_2037.JPG,1.0
prohibit,v.,to forbid,IMG_2037.JPG,1.0
prolific,adj.,"creative, productive",IMG_2037.JPG,1.0
prolong,v.,to lengthen,IMG_2037.JPG,1.0
prompt,adj.,on time,IMG_2037.JPG,1.0
provoke,v.,to anger,IMG_2037.JPG,1.0
prudent,adj.,careful,IMG_2037.JPG,1.0
pungent,adj.,sharp smelling,IMG_2037.JPG,1.0
pursue,v.,to follow,IMG_2037.JPG,1.0
qualified,adj.,accomplished,IMG_2037.JPG,1.0
quandary,n.,dilemma,IMG_2037.JPG,1.0
quarrelsome,adj.,disagreeable,IMG_2037.JPG,1.0
quench,v.,to put out,IMG_2037.JPG,1.0
querulous,adj.,complaining,IMG_2037.JPG,1.0
radiant,adj.,beaming,IMG_2037.JPG,1.0
radical,adj.,extreme,IMG_2037.JPG,1.0
rampant,adj.,widespread,IMG_2037.JPG,1.0
ratify,v.,to approve,IMG_2037.JPG,1.0
rational,adj.,reasonable,IMG_2037.JPG,1.0
ravenous,adj.,starving,IMG_2037.JPG,1.0
recalcitrant,adj.,disobedient,IMG_2037.JPG,1.0
reclusive,adj.,isolated,IMG_2037.JPG,1.0
reconcile,v.,to resolve,IMG_2037.JPG,1.0
rectify,v.,to fix,IMG_2037.JPG,1.0
recuperate,v.,to recover,IMG_2037.JPG,1.0
redundant,adj.,repetitious,IMG_2037.JPG,1.0
refine,v.,"to improve, purify",IMG_2037.JPG,1.0
reflective,adj.,thoughtful,IMG_2037.JPG,1.0
refurbish,v.,to fix up,IMG_2037.JPG,1.0
refute,v.,to contradict,IMG_2037.JPG,1.0
regimen,n.,routine,IMG_2037.JPG,1.0
reimburse,v.,to pay back,IMG_2037.JPG,1.0
rejuvenate,v.,to make new again,IMG_2037.JPG,1.0
relic,n.,antique,IMG_2037.JPG,1.0
relinquish,v.,to release,IMG_2037.JPG,1.0
reluctance,n.,hesitation,IMG_2037.JPG,1.0
remorse,n.,sense of guilt,IMG_2037.JPG,1.0
repeal,v.,"to revoke, rescind",IMG_2037.JPG,1.0
replenish,v.,"to refill, to put back",IMG_2037.JPG,1.0
reprimand,v.,to scold,IMG_2037.JPG,1.0
reprisal,n.,retaliation,IMG_2037.JPG,1.0
reproach,v.,to express disapproval,IMG_2037.JPG,1.0
reputable,adj.,distinguished,IMG_2037.JPG,1.0
resolve,v.,"to decide, to agree",IMG_2037.JPG,1.0
restore,v.,to make new,IMG_2037.JPG,1.0
resume,v.,to continue,IMG_2037.JPG,1.0
retain,v.,to keep,IMG_2037.JPG,1.0
reticent,adj.,quiet,IMG_2037.JPG,1.0
retort,n.,witty response,IMG_2037.JPG,1.0
retract,v.,to take back,IMG_2037.JPG,1.0
revere,v.,to admire,IMG_2037.JPG,1.0
revive,v.,"to bring back to life",IMG_2037.JPG,1.0
rickety,adj.,flimsy,IMG_2037.JPG,1.0
rigor,n.,"adversity, difficulty",IMG_2037.JPG,1.0
rigorous,adj.,"harsh, exact",IMG_2037.JPG,1.0
robust,adj.,"strong, healthy",IMG_2037.JPG,1.0
routine,adj.,"ordinary, normal",IMG_2037.JPG,1.0
sage,adj.,wise,IMG_2037.JPG,1.0
sage,n.,a wise person,IMG_2037.JPG,1.0
salvage,v.,save from,IMG_2037.JPG,1.0
satiate,v.,"to fill, to satisfy",IMG_2037.JPG,1.0
saunter,v.,"to linger, to stroll",IMG_2037.JPG,1.0
scheme,n.,"a ploy or trick",IMG_2037.JPG,1.0
scrutinize,v.,"to inspect, to analyze",IMG_2037.JPG,1.0
sedentary,adj.,need for sitting,IMG_2037.JPG,1.0
serene,adj.,calm,IMG_2037.JPG,1.0
sever,v.,to cut off,IMG_2037.JPG,1.0
severe,adj.,harsh,IMG_2037.JPG,1.0
shrewd,adj.,clever,IMG_2037.JPG,1.0
significant,adj.,important,IMG_2037.JPG,1.0
simulate,v.,to imitate,IMG_2037.JPG,1.0
skeptical,adj.,doubtful,IMG_2037.JPG,1.0
slovenly,adj.,"dirty, careless",IMG_2037.JPG,1.0
solace,n.,comfort,IMG_2037.JPG,1.0
somber,adj.,gloomy,IMG_2037.JPG,1.0
sparse,adj.,"scarce, limited",IMG_2037.JPG,1.0
spiteful,adj.,malicious,IMG_2037.JPG,1.0
spontaneous,adj.,impulsive,IMG_2037.JPG,1.0
sporadic,adj.,intermittent,IMG_2037.JPG,1.0
vital,adj.,essential,IMG_2039.JPG,1.0
vitality,n.,"energy, spirit",IMG_2039.JPG,1.0
vivacious,adj.,"lively, full of life",IMG_2039.JPG,1.0
voracious,adj.,hungry,IMG_2039.JPG,1.0
volatile,adj.,quickly changing,IMG_2039.JPG,1.0
vulgar,adj.,rude,IMG_2039.JPG,1.0
vulnerable,adj.,defenseless,IMG_2039.JPG,1.0
wage,n.,"compensation, pay",IMG_2039.JPG,1.0
wage,v.,to do or to conduct,IMG_2039.JPG,1.0
wary,adj.,cautious,IMG_2039.JPG,1.0
waver,v.,to go back and forth,IMG_2039.JPG,1.0
wearisome,adj.,tiresome,IMG_2039.JPG,1.0
weary,adj.,exhausted,IMG_2039.JPG,1.0
whimsical,adj.,carefree,IMG_2039.JPG,1.0
wily,adj.,"crafty, sly",IMG_2039.JPG,1.0
wretched,adj.,miserable,IMG_2039.JPG,1.0
yearn,v.,to want,IMG_2039.JPG,1.0
youthful,adj.,young,IMG_2039.JPG,1.0
zeal,n.,eager desire,IMG_2039.JPG,1.0
zealot,n.,fanatic,IMG_2039.JPG,1.0
zenith,n.,"the top, peak",IMG_2039.JPG,1.0
